lat&lon,name_of_business,distance_on_4sq,address
48.855907555969_2.3925706744194,Des Terres,382,82 rue Alexandre Dumas
48.855907555969_2.3925706744194,Au Rond Point,849,65 boulevard de Ménilmontant
48.855907555969_2.3925706744194,On Partage,388,137 Bis rue de Charonne
48.855907555969_2.3925706744194,Boulangerie Poncet,450,195 boulevard Voltaire
48.855907555969_2.3925706744194,MK2 Nation,850,133 boulevard Diderot
48.855907555969_2.3925706744194,Caffe Shop,479,215 Bis boulevard Voltaire
48.855907555969_2.3925706744194,La Boissonniere Charonne,495,52 rue Léon Frot
48.855907555969_2.3925706744194,Laïa,496,226 boulevard Voltaire
48.855907555969_2.3925706744194,Table Métis,502,40 rue des Boulets
48.855907555969_2.3925706744194,Bar des Boulets,558,25 rue de Belfort
48.855907555969_2.3925706744194,Dame Nation,568,2 rue Guenot
48.840855311763_2.3875549435616,Le Janissaire,291,22-24 allée Vivaldi
48.840855311763_2.3875549435616,La Cinémathèque française,544,51 rue de Bercy
48.840855311763_2.3875549435616,Ground Control,544,"81 rue du Charolais, 12e"
48.840855311763_2.3875549435616,Chez Coquille,277,7 boulevard de Reuilly
48.840855311763_2.3875549435616,Anco,535,108 rue de Bercy
48.840855311763_2.3875549435616,Barracuda,502,10 place du Colonel Bourgoin
48.840855311763_2.3875549435616,Café le Repaire,385,100 avenue Daumesnil
48.840855311763_2.3875549435616,Gusto,776,"134 bis, rue de Charenton"
48.840855311763_2.3875549435616,Musée des Arts Forains,893,53 avenue des Terroirs de France
48.840855311763_2.3875549435616,L'Auberge Aveyronnaise,685,40 rue Gabriel Lamé
48.840855311763_2.3875549435616,L'Églantine,914,21 rue Fabre d'Eglantine
48.840855311763_2.3875549435616,Le Social Bar,897,25 rue Villiot
48.840855311763_2.3875549435616,Trois Crabes,827,17 rue Claude Tillier
48.840855311763_2.3875549435616,UGC Ciné Cité Bercy,982,2 cours Saint-Emilion
48.840855311763_2.3875549435616,Petit Bain,1001,7 Port de la Gare
48.840855311763_2.3875549435616,La Terrasse de Bercy,520,102 rue de Bercy
48.840855311763_2.3875549435616,Le Touareg,154,228 rue de Charenton
48.840855311763_2.3875549435616,O Churrasco,910,297 rue de Charenton
48.840855311763_2.3875549435616,American Express Live Bar,623,8 boulevard de Bercy
48.840855311763_2.3875549435616,Restaurant Rayan,625,11 rue Chaligny
48.840855311763_2.3875549435616,L'Arrosoir,896,73 75 avenue Daumesnil
48.840855311763_2.3875549435616,Starbucks,780,"5 rue de lAmbroisie, Paris"
48.840855311763_2.3875549435616,L'Inédit Café,476,4 rue Taine
48.840855311763_2.3875549435616,The Frog at Bercy Village,885,25 Cour Saint-Emilion
48.840855311763_2.3875549435616,Mezzo di Pasta,990,Gare de Paris-Lyon
48.840855311763_2.3875549435616,Bistrot du Métro,526,102 rue de Bercy
48.840855311763_2.3875549435616,Subway,460,85 rue de Reuilly
48.840855311763_2.3875549435616,Le Bercy Café,571,118 rue de Bercy
48.840855311763_2.3875549435616,Kinoko Sushi,606,15 rue de Pommard
48.840855311763_2.3875549435616,Vapiano,813,62 cour Saint-Émilion
48.840855311763_2.3875549435616,Eric Kayser,827,41 cour Saint-Émilion
48.840855311763_2.3875549435616,Le Papa Cabane,576,rue Paul Belmondo
48.840855311763_2.3875549435616,Five Guys Bercy Village,851,42 cour Saint Emilion
48.840855311763_2.3875549435616,Le Triomphe,908,6 place de la Nation
48.840855311763_2.3875549435616,Café du Commerce,406,33A boulevard de Reuilly
48.840855311763_2.3875549435616,Chicago Factory,422,16 rue Henri Desgrange
48.840855311763_2.3875549435616,Le Café Prem1er,928,Gare de Paris-Lyon
48.840855311763_2.3875549435616,MK2 Nation,919,133 boulevard Diderot
48.840855311763_2.3875549435616,Le Remontalou,541,82 avenue Daumesnil
48.840855311763_2.3875549435616,Le Globe Diderot,703,118 boulevard Diderot
48.840855311763_2.3875549435616,Toto Sushi,571,151 rue de Charenton
48.840855311763_2.3875549435616,Café Chambertin,521,38 boulevard de Bercy
48.840855311763_2.3875549435616,Le Cedre Oriental,628,15 rue de Wattignies
48.840855311763_2.3875549435616,Les 3 Frères,713,1 boulevard de Denain
48.840855311763_2.3875549435616,Café Chabalier,526,58 rue de Bercy
48.840855311763_2.3875549435616,Boulangerie Leroy Monti,755,203 avenue Daumesnil
48.840855311763_2.3875549435616,Le Canon de la Nation,997,2 place de la Nation
48.840855311763_2.3875549435616,Au Métro,658,8 place Félix Eboué
48.840855311763_2.3875549435616,Bistro du 5,826,5 rue Fabre d'Eglantine
48.840855311763_2.3875549435616,Les Spectacles,546,110 rue de Bercy
48.85129643366528_2.325061820447445,Le Café de la Grande Épicerie,118,la Grand Épicerie de Paris 38 rue de Sèvres
48.85129643366528_2.325061820447445,Bar Joséphine,153,"45 boulevard Raspail, 6e"
48.85129643366528_2.325061820447445,Le Petit Lutetia,462,107 rue de Sèvres
